Player_ID,Nome,Posição,Overall,Similaridade
241788,M. Taremi,Atacante,82,0.9892951355253908
235790,K. Havertz,"Atacante, Extremo, Meio campo",82,0.9782721071191963
228941,André Silva,Atacante,80,0.978141700020276
201153,Morata,Atacante,83,0.9745671106398357
234236,P. Schick,Atacante,83,0.9711356590342409
188545,R. Lewandowski,Atacante,90,0.970397401560374
208093,Gerard Moreno,"Atacante, Meio campo",83,0.9678569886209486
213955,S. Azmoun,"Atacante, Meio campo",78,0.9662782474618279
208722,S. Mané,"Atacante, Meio campo",86,0.9642804709482019
205976,Léo Baptistão,"Atacante, Meio campo",75,0.9611328849530306
246618,A. Hložek,"Atacante, Meio campo",77,0.9597177992018606
242516,C. Gakpo,"Atacante, Extremo",83,0.9583324075445785
216354,A. Kramarić,"Atacante, Meio campo",81,0.9559941772240275
194765,A. Griezmann,Atacante,88,0.9558257746086843
233731,A. Isak,"Atacante, Extremo",81,0.9547421755282595
231943,Richarlison,"Atacante, Extremo",80,0.9546806094201473
220018,A. Rebić,"Atacante, Extremo, Meio campo",77,0.953313626170352
202126,H. Kane,Atacante,90,0.9525023296779989
231478,L. Martínez,Atacante,87,0.9519752509725554
236786,M. Terrier,"Atacante, Meio campo",81,0.9509303909318074
186200,F. Borini,"Atacante, Extremo, Meio campo",77,0.9455044493562806
184200,M. Arnautović,Atacante,80,0.9450028180312001
176600,K. Gameiro,Atacante,76,0.9448169565424794
196978,C. Wilson,Atacante,82,0.9436552249800266
232432,L. Jović,Atacante,77,0.9428298739989149
240753,A. Gouiri,"Atacante, Extremo, Meio campo",79,0.9425997484970666
251470,C. De Ketelaere,"Atacante, Meio campo",76,0.9418521417992718
244675,Sancet,"Atacante, Meio campo",81,0.9418412097069776
237321,M. Berisha,Atacante,78,0.9417364904491194
234147,Dany Mota,Atacante,74,0.9414011073130755
193301,A. Lacazette,Atacante,83,0.9406997476586301
190059,S. Zuber,"Atacante, Meio campo",76,0.9403297337064723
230430,Oswaldinato,Atacante,81,0.9401951094657577
223273,M. Pašalić,"Atacante, Meio campo",80,0.9399206787816581
241461,Ferran Torres,"Atacante, Extremo",82,0.9396430349391354
206467,A. Plea,"Atacante, Meio campo",77,0.9394772183780002
223197,E. Ünal,Atacante,82,0.9384263504623196
20801,Cristiano Ronaldo,Atacante,86,0.9375676373515498
236791,A. Barák,"Atacante, Meio campo",78,0.9350419100323013
212523,Anderson Talisca,"Atacante, Meio campo",81,0.9346817992688317
224458,Diogo Jota,"Atacante, Extremo",85,0.934582472017671
245152,S. Giménez,Atacante,78,0.9340380099549213
246430,D. Vlahović,Atacante,83,0.9336999618473817
221168,D. Kownacki,"Atacante, Meio campo",73,0.933354279423564
265800,Jutglà,Atacante,75,0.9331966807198396
224411,Gonçalo Guedes,"Atacante, Meio campo",79,0.9330975479459803
185422,J. King,"Atacante, Extremo",75,0.9317534633515719
242444,João Félix,"Atacante, Extremo",81,0.9313516924743762
238900,E. Demirović,"Atacante, Meio campo",75,0.9303035226362291
201399,M. Icardi,Atacante,80,0.9300086614251712
239250,Abel Ruiz,Atacante,76,0.927454540660498
199434,D. Tadić,"Atacante, Extremo",82,0.9273279396963479
209519,G. Laborde,Atacante,81,0.9272417928313076
197891,Juanmi,"Atacante, Meio campo",79,0.9263550575560204
237712,V. Castellanos,Atacante,79,0.9260942893981476
199069,V. Aboubakar,Atacante,79,0.925775671851462
214997,Á. Correa,"Atacante, Meio campo",82,0.9255984362711026
192629,Iago Aspas,Atacante,85,0.9249228325604624
231969,R. Malinovskyi,"Atacante, Meio campo",78,0.9240456240335506
225719,K. Iheanacho,Atacante,76,0.9234773750862356
202556,M. Depay,"Atacante, Extremo",84,0.9230415482474268
210315,Raúl de Tomás,Atacante,79,0.9228466780530898
231677,M. Rashford,"Atacante, Extremo, Meio campo",85,0.9226784931349653
231747,K. Mbappé,"Atacante, Extremo",91,0.9225634483374789
256612,Evanilson,Atacante,78,0.9223400984813477
231184,Guruzeta,Atacante,77,0.9218826435613745
216475,Morales,"Atacante, Meio campo",79,0.921308047313152
239043,U. Bozok,Atacante,73,0.9212897304604104
192387,C. Immobile,Atacante,85,0.920189686925519
204838,R. Jiménez,Atacante,76,0.9200183343111807
239085,E. Haaland,Atacante,91,0.9195372983885011
199451,W. Ben Yedder,Atacante,83,0.9190485026398637
236276,A. Danjuma,"Atacante, Meio campo",81,0.9190323786505914
230666,Gabriel Jesus,"Atacante, Extremo",84,0.9188348841205581
232293,V. Osimhen,Atacante,88,0.9182974465810164
217007,M. Thiam,"Atacante, Meio campo",72,0.916190479919775
217998,C. Arango,"Atacante, Meio campo",76,0.9153935544966951
241095,N. Vlašić,"Atacante, Meio campo",78,0.9153060511189232
232411,C. Nkunku,"Atacante, Meio campo",86,0.9143715469870963
201942,Roberto Firmino,Atacante,82,0.9131798101983528
237679,R. Kolo Muani,"Atacante, Meio campo",84,0.9125856528608348
230899,A. Lookman,"Atacante, Extremo, Meio campo",81,0.9116569439426074
242448,André Silva,"Atacante, Extremo",73,0.9113487049628574
246191,J. Álvarez,"Atacante, Meio campo",80,0.911268814391936
230084,L. Nmecha,Atacante,77,0.9106594584642195
197031,M. Ducksch,Atacante,77,0.909271839422491
252037,Fábio Silva,Atacante,73,0.9087833363539699
240243,Matheus Cunha,"Atacante, Meio campo",78,0.9084723833666645
257289,H. Ekitike,Atacante,75,0.9084015834027848
243630,J. David,Atacante,81,0.9083933127992546
230384,Nailton Suzuki,"Atacante, Meio campo",81,0.9083688736032194
200610,K. Volland,"Atacante, Meio campo",79,0.9082461262988083
228251,L. Pellegrini,"Atacante, Meio campo",83,0.9081231585767547
193290,M. Braithwaite,"Atacante, Meio campo",77,0.9079308898964094
230498,Luimo Boas Santos,Atacante,79,0.9073625030312684
205175,A. Milik,Atacante,81,0.9071822145005561
198715,Sergio León,Atacante,73,0.9070588831615781
216816,G. Simeone,Atacante,78,0.9063456559441287
215247,M. Ingvartsen,"Atacante, Meio campo",75,0.9058451608404653
198331,M. Vydra,Atacante,72,0.9048335441076045
